Date,City/Neighborhood,Configuration,Average Price (USD),Utilities,Groceries,Internet,Cell Phone,Dining,Entertainment,Travel
2025-09-01,Panama City,1 BR / 1 BA,1184,0,0,0,0,0,0,0
2025-09-01,Panama City,2 BR / 1 BA,1702,0,0,0,0,0,0,0
2025-09-01,Panama City,2 BR / 2 BA,2220,0,0,0,0,0,0,0
2025-09-01,Bocas del Toro,1 BR / 1 BA,750,0,0,0,0,0,0,0
2025-09-01,Bocas del Toro,2 BR / 1 BA,975,0,0,0,0,0,0,0
2025-09-01,Bocas del Toro,2 BR / 2 BA,1350,0,0,0,0,0,0,0
2025-09-01,Coronado,1 BR / 1 BA,760,0,0,0,0,0,0,0
2025-09-01,Coronado,2 BR / 1 BA,1115,0,0,0,0,0,0,0
2025-09-01,Coronado,2 BR / 2 BA,1520,0,0,0,0,0,0,0
2025-09-01,Boquete,1 BR / 1 BA,755,0,0,0,0,0,0,0
2025-09-01,Boquete,2 BR / 1 BA,950,0,0,0,0,0,0,0
2025-09-01,Boquete,2 BR / 2 BA,1300,0,0,0,0,0,0,0
2025-09-01,David,1 BR / 1 BA,350,0,0,0,0,0,0,0
2025-09-01,David,2 BR / 1 BA,525,0,0,0,0,0,0,0
2025-09-01,David,2 BR / 2 BA,700,0,0,0,0,0,0,0
2025-09-01,Volcan,1 BR / 1 BA,350,0,0,0,0,0,0,0
2025-09-01,Volcan,2 BR / 1 BA,550,0,0,0,0,0,0,0
2025-09-01,Volcan,2 BR / 2 BA,700,0,0,0,0,0,0,0
2025-09-01,Chitre,1 BR / 1 BA,694,0,0,0,0,0,0,0
2025-09-01,Chitre,2 BR / 1 BA,954,0,0,0,0,0,0,0
2025-09-01,Chitre,2 BR / 2 BA,1041,0,0,0,0,0,0,0
2025-09-01,Casco Viejo,1 BR / 1 BA,1776,0,0,0,0,0,0,0
2025-09-01,Casco Viejo,2 BR / 1 BA,2368,0,0,0,0,0,0,0
2025-09-01,Casco Viejo,2 BR / 2 BA,2961,0,0,0,0,0,0,0
2025-09-01,Avenida Balboa,1 BR / 1 BA,1628,0,0,0,0,0,0,0
2025-09-01,Avenida Balboa,2 BR / 1 BA,2368,0,0,0,0,0,0,0
2025-09-01,Avenida Balboa,2 BR / 2 BA,3109,0,0,0,0,0,0,0
2025-09-01,El Valle de Anton,1 BR / 1 BA,500,0,0,0,0,0,0,0
2025-09-01,El Valle de Anton,2 BR / 1 BA,630,0,0,0,0,0,0,0
2025-09-01,El Valle de Anton,2 BR / 2 BA,870,0,0,0,0,0,0,0
